Code,Region/Country/Area,Year,Series,Value
804,Ukraine,2020,GDP in current prices (millions of US dollars),156618.0
784,United Arab Emirates,2020,GDP in current prices (millions of US dollars),357219.0
826,United Kingdom,2020,GDP in current prices (millions of US dollars),2704609.0
834,United Rep. of Tanzania,2020,GDP in current prices (millions of US dollars),65892.0
840,United States of America,2020,GDP in current prices (millions of US dollars),21060474.0
858,Uruguay,2020,GDP in current prices (millions of US dollars),53561.0
860,Uzbekistan,2020,GDP in current prices (millions of US dollars),59894.0
548,Vanuatu,2020,GDP in current prices (millions of US dollars),909.0
862,Venezuela (Boliv. Rep. of),2020,GDP in current prices (millions of US dollars),106499.0
704,Viet Nam,2020,GDP in current prices (millions of US dollars),346616.0
887,Yemen,2020,GDP in current prices (millions of US dollars),9417.0
894,Zambia,2020,GDP in current prices (millions of US dollars),18111.0
836,Zanzibar,2020,GDP in current prices (millions of US dollars),1835.0
716,Zimbabwe,2020,GDP in current prices (millions of US dollars),21665.0
